Hour,Load (kW),Load (kW)
341,57983.2924,0.579832924
342,57204.695,0.57204695
343,52237.4298,0.522374298
344,56357.3889,0.563573889
345,59469.0429,0.594690429
346,56342.797,0.56342797
347,64298.7755,0.642987755
348,57688.3159,0.576883159
349,59467.9591,0.594679591
350,73515.3493,0.735153493
351,63656.7371,0.636567371
352,64546.1795,0.645461795
353,65330.4457,0.653304457
354,71463.0088,0.714630088
355,69509.2872,0.695092872
356,71153.0453,0.711530453
357,65795.8613,0.657958613
358,69715.44,0.6971544
359,71478.0208,0.714780208
360,73161.9593,0.731619593
361,78490.5369,0.784905369
362,69235.3704,0.692353704
363,66232.522,0.66232522
364,62206.2481,0.622062481
365,61271.7207,0.612717207
366,61883.7404,0.618837404
367,61124.0471,0.611240471
368,60318.1823,0.603181823
369,59601.2144,0.596012144
370,55620.3845,0.556203845
371,58248.4237,0.582484237
372,59532.0887,0.595320887
373,61761.4958,0.617614958
374,69258.2395,0.692582395
375,73497.8717,0.734978717
376,66970.1368,0.669701368
377,76068.7085,0.760687085
378,68065.5856,0.680655856
379,63677.6804,0.636776804
380,65374.9664,0.653749664
381,66499.1397,0.664991397
382,66417.5966,0.664175966
383,70639.0297,0.706390297
384,75397.2753,0.753972753
385,73859.4936,0.738594936
386,67347.7791,0.673477791
387,67107.7329,0.671077329
388,71413.7989,0.714137989
389,67917.3377,0.679173377
390,66079.2725,0.660792725
391,64470.8855,0.644708855
392,60410.265,0.60410265
393,62474.3989,0.624743989
394,61917.3058,0.619173058
395,50374.1598,0.503741598
396,54394.0788,0.543940788
397,56014.8096,0.560148096
398,56970.7682,0.569707682
399,59453.7394,0.594537394
400,61145.3689,0.611453689
401,64459.8269,0.644598269
402,63648.2124,0.636482124
403,69364.6099,0.693646099
404,64401.2327,0.644012327
405,77573.2679,0.775732679
406,73072.4628,0.730724628
407,71033.0149,0.710330149
408,65550.6502,0.655506502
409,75378.0379,0.753780379
410,73269.0698,0.732690698
411,62894.1207,0.628941207
412,57217.396,0.57217396
413,56821.1412,0.568211412
414,62752.8557,0.627528557
415,62532.4487,0.625324487
416,59754.1319,0.597541319
417,58330.5602,0.583305602
418,62961.3881,0.629613881
419,55948.038,0.55948038
420,77417.9568,0.774179568
421,74971.6126,0.749716126
422,81034.9343,0.810349343
423,81056.3434,0.810563434
424,80860.3677,0.808603677
425,74322.1339,0.743221339
426,71152.806,0.71152806
427,65353.412,0.65353412
428,67709.4825,0.677094825
429,66396.5595,0.663965595
430,64473.8509,0.644738509
431,62993.2909,0.629932909
432,69086.3299,0.690863299
433,75331.246,0.75331246
434,74062.2272,0.740622272
435,66074.7486,0.660747486
436,66877.5802,0.668775802
437,66865.1503,0.668651503
438,67136.0778,0.671360778
439,58721.6059,0.587216059
440,60196.2171,0.601962171
441,73908.5765,0.739085765
442,77665.2355,0.776652355
443,86116.6506,0.861166506
444,82388,0.82388
445,81456.0691,0.814560691
446,65431.4946,0.654314946
447,68737.0783,0.687370783
448,65162.3029,0.651623029
449,60550.9551,0.605509551
