Hour,Load (kW)
2218,77757.0819
2219,82286.7315
2220,74673.0482
2221,81704.2755
2222,83766.4448
2223,81217.6451
2224,74235.0776
2225,72474.9573
2226,68143.6987
2227,69108.4408
2228,69413.7992
2229,74884.4808
2230,78687.3789
2231,73435.194
2232,70127.8145
2233,64924.0368
2234,71673.4652
2235,69482.3363
2236,62069.4753
2237,57508.6958
2238,61020.2224
2239,62498.1043
2240,59930.3478
2241,75686.281
2242,70798.9504
2243,79445.8522
2244,71345.4248
2245,76338.1564
2246,74471.8765
2247,79431.6206
2248,77340.2133
2249,73310.0266
2250,73761.0914
2251,70139.5925
2252,66766.0499
2253,75605.1894
2254,72824.7285
2255,71814.7237
2256,74074.9745
2257,75022.718
2258,75708.3108
2259,86300.2155
2260,74224.2826
2261,72031.5351
2262,68727.0785
2263,61440.4672
2264,65354.7638
2265,67673.1182
2266,65428.7306
2267,62126.0172
2268,64776.8424
2269,65028.4462
2270,72897.3458
2271,72494.9918
2272,73794.4181
2273,74117.5133
2274,78905.5516
2275,75487.8483
2276,71901.8172
2277,73675.5332
2278,69938.9297
2279,69598.6248
2280,69634.8915
2281,73414.7876
2282,78814.2145
2283,73088.7111
2284,64033.7637
2285,62021.7336
2286,67555.6819
2287,60999.7653
2288,58008.9956
2289,61839.13
2290,63894.4195
2291,58711.7176
2292,64007.151
2293,66456.6135
2294,68625.3537
2295,71294.2281
2296,72375.1401
2297,69388.7817
2298,71985.3942
2299,70955.9285
2300,70629.3406
2301,72210.1427
2302,69274.2556
2303,66391.5624
2304,65448.5536
2305,70519.2068
2306,63356.5587
2307,59639.3776
2308,58875.2951
2309,55712.2798
2310,53627.5466
2311,53053.4746
2312,56025.7235
2313,54160.1725
2314,57179.636
2315,52009.2165
2316,55010.7194
2317,57588.6237
2318,60618.9749
2319,54588.9368
2320,55201.2612
2321,54791.5118
2322,57700.2773
2323,58923.9419
2324,59799.4239
2325,55378.5481
2326,54327.4377
2327,54443.8447
2328,54207.864
2329,62792.7443
2330,57581.4988
2331,50041.4106
2332,48509.5927
2333,49118.5697
2334,46888.8938
2335,48779.8768
2336,48485.2247
2337,54410.7907
2338,48514.6835
2339,53354.7019
2340,54374.6218
2341,54535.964
2342,57371.3009
2343,57132.7341
